1\Tenacity\1\1\100, 0\300, 0\Increase DEF by 3%\Increase DEF by 5%\-\\\
869\All Night Fever\3\5\0, 200\0, 1000\Increase NP Gain by 5%; Increase Critical Strength by 5%; Increase Gil Dollar Bill drop amount by 1 [Summer 3]\Increase NP Gain by 10%; Increase Critical Strength by 10%; Increase Gil Dollar Bill drop amount by 2 [Summer 3]\-\Hino Hinako\\\Servant Summer Festival!
870\Writing High\3\5\300, 0\1500, 0\Increase NP Gain by 5%; Increase NP Strength by 5%; Increase Gil Dollar Bill drop amount by 1 [Summer 3]\Increase NP Gain by 10%; Increase NP Strength by 10%; Increase Gil Dollar Bill drop amount by 2 [Summer 3]\-\Inooka\\\Servant Summer Festival!
871\Painting Summer\5\12\400, 250\1600, 1000\Increase Arts Card effectiveness by 8%; Increase NP Gain by 8%; Increase NP Gauge by 30% at the start of battle; Increase Doujin Research drop amount by 30% [Summer 3]\Increase Arts Card effectiveness by 10%; Increase NP Gain by 10%; Increase NP Gauge by 50% at the start of battle; Increase Doujin Research drop amount by 60% [Summer 3]\-\Mitsumi Misato\\\Servant Summer Festival!
872\Lady Foxy\5\12\750, 0\3000, 0\Increase NP Gauge by 4% per turn; Increase NP Strength by 15%; Apply Damage Cut 100; Increase Doujin Imagination drop amount by 30% [Summer 3]\Increase NP Gauge by 5% per turn; Increase NP Strength by 20%; Apply Damage Cut 200; Increase Doujin Imagination drop amount by 60% [Summer 3]\-\Shaka P (DELiGHTWORKS)\\\Servant Summer Festival!
873\Water Shine\5\12\0, 500\0, 2000\Apply Sure Hit; Increase Critical Strength by 15%; Gain 3 Critical Stars per turn; Increase Doujin Vitality drop amount by 30% [Summer 3]\Apply Sure Hit; Increase Critical Strength by 20%; Gain 4 Critical Stars per turn; Increase Doujin Vitality drop amount by 60% [Summer 3]\-\Satou Hiroki (DELiGHTWORKS)\\\Servant Summer Festival!
874\Melancholy of a Theatrical Magician\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\toi10\\\Servant Summer Festival!
875\Little little bullet\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\Takahashi Keitarou>\\\Servant Summer Festival!
876\The Round Table of Our Home\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\Haruno Tomoya\\\Servant Summer Festival!
877\Curry x Rice\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\pako\\\Servant Summer Festival!
878\Build Upper Martha\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\Shigure Aoba\\\Servant Summer Festival!
879\Giant Babbage\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\Hirai Yukio\\\Servant Summer Festival!
880\Ears of Mommy\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\Furumi Shouichi\\\Servant Summer Festival!
881\We Can't Summon You!\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\BLADE\\\Servant Summer Festival!
882\Miss Anastasia Really Loves Ramen\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\\\\Servant Summer Festival!
883\I Want to Smash that Evil Lady and Wicked Woman!\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\Hiroyama Hiroshi\\\Servant Summer Festival!
884\A Course in A10 Counseling\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\Syatey\\\Servant Summer Festival!
885\The Monster and Magical Princess of Crosvik\4\3\0, 0\0, 0\No Effect; Increase Doujin Vitality, Doujin Research, and Doujin Imagination by 10% [Summer 3]\\-\toi11\\\Servant Summer Festival!
886\Sea Angel\4\9\100, 100\100, 100\When equipped to Jeanne d'Arc (Archer) only. Increase Arts Card effectiveness and NP Strength of all allies by 10% while she's on the field\\-\Tatsuyo\\
887\Mt. Ooe Great Fireworks\4\9\100, 100\100, 100\When equipped to Ibaraki-Douji (Lancer) only. Increase Buster Card effectiveness of all allies by 10% and Critical Strength by 15% while she's on the field\\-\\\
888\Tengu Transformation Set\4\9\100, 100\100, 100\When equipped to Ushiwakamaru (Assassin) only. Increase Quick Card effectiveness of all allies by 10% and Critical Strength by 15% while she's on the field\\-\Higashiyama Yuusei\\
889\Crystallization of Accumulated Time\4\9\100, 100\100, 100\When equipped to Jeanne d'Arc (Alter) (Berserker) only. Increase Buster Card effectiveness and NP Strength of all allies by 10% while she's on the field\\-\\\
890\Last Resort of the Abyss\4\9\100, 100\100, 100\When equipped to BB (SSR Moon Cancer) only. Increase Arts and Buster Card effectiveness of all allies by 10% while she's on the field\\-\\\
891\Album of One Summer\4\9\100, 100\100, 100\When equipped to Medb (Saber) only. Increase NP Gain and NP Strength of all allies by 10% while she's on the field\\-\Gin no Fude\\
892\Memories of the Earth\4\9\100, 100\100, 100\When equipped to Heroine XX (Foreigner) only. Apply Special Attack [Saber] 20% to all allies while she's on the field\\-\Yuzu Shio\\
893\Fate/Grand Order Memories I\4\3\100, 100\100, 100\Increase Master EXP from clearing quests by 50\\-\NOCO\\\Fate/Grand Order Memories Commemoration Campaign
894\Morall and Beagall\4\9\100, 100\100, 100\When equipped to Diarmuid (Saber) only. Increase Quick and Buster Card effectiveness of all allies by 10% while he's on the field\\-\Kamikokuryou Haruka\\
895\Fated Face-Off\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50\\-\Yasuda Suzuhito\\\Fate/Grand Order Arcade Location Campaign 2
896\Gilgamesh in NY\5\12\0, 500\0, 2000\Increase Buster Card effectiveness by 20%; Increase NP Gain by 10%; Increase Muscle Burger drop amount by 1 [BiNY]\Increase Buster Card effectiveness by 25%; Increase NP Gain by 15%; Increase Muscle Burger drop amount by 2 [BiNY]\-\Jako Hyoue​\\\Battle in New York 2018
897\To Sparkle in a Sky Scraper\4\9\0, 400\0, 1500\Increase Buster Card effectiveness by 8%; Increase Critical Strength by 15%; Increase Strong Dog drop amount by 1 [BiNY]\Increase Buster Card effectiveness by 10%; Increase Critical Strength by 20%; Increase Strong Dog drop amount by 2 [BiNY]\-\POKImari\\\Battle in New York 2018
898\Show Time\3\5\160, 100\800, 500\Increase Quick Card effectiveness by 3%; Increase NP Strength by 8%; Increase Wild Potato drop amount by 1 [BiNY]\Increase Quick Card effectiveness by 5%; Increase NP Strength by 10%; Increase Wild Potato drop amount by 2 [BiNY]\-\Tsukumo\\\Battle in New York 2018
899\Return Match\5\12\0, 500\0, 2000\Apply Guts (1 time, 1 HP); Increase Critical Strength by 15%; Increase ATK Strength by 100% [BiNY]\Apply Guts (1 time, 1 HP); Increase Critical Strength by 20%; Increase ATK Strength by 200% [BiNY]\-\Osanai\\\Battle in New York 2018
900\C.K.T.\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 10%; Increase Arts Card effectiveness by 10%; Increase Critical Strength by 10%; Increase AUO Lotto drop amount by 1 [BiNY]\Increase Quick Card effectiveness by 15%; Increase Arts Card effectiveness by 15%; Increase Critical Strength by 15%; Increase AUO Lotto drop amount by 2 [BiNY]\-\Imigimuru\\\Battle in New York 2018
901\Dollar Cent Shop\4\9\0, 0\0, 0\No Effect; Increase Craft Essence EXP by 30,000 when used as synthesis material.\\-\ainezu\EXPCard\\Battle in New York 2018
902\Welcome to ONILAND!!\5\12\0, 500\0, 2000\Increase Arts Card effectiveness by 10%, Increase Buster Card effectiveness by 10%, Increase NP Gauge by 40% at the start of battle; Increase Kozuchi Sundae drop amount by 1 [ONILAND]\Increase Arts Card effectiveness by 12%, Increase Buster Card effectiveness by 12%, Increase NP Gauge by 50% at the start of battle; Increase Kozuchi Sundae drop amount by 2 [ONILAND]\-\POPQN\\\ONILAND of the Mysterious Kingdom!!
903\Merely Crimson\4\9\320, 200\1200, 750\Increase Buster Card effectiveness by 8%, Increase Critical Strength by 8%, Increase NP Gain by 8%; Increase Kanabou Churro drop amount by 1 [ONILAND]\Increase Buster Card effectiveness by 10%, Increase Critical Strength by 10%, Increase NP Gain by 10%; Increase Kanabou Churro drop amount by 2 [ONILAND]\-\Mashuu\\\ONILAND of the Mysterious Kingdom!!
904\Ashigara Brothers\3\5\0, 200\0, 1000\Increase Quick Card effectiveness by 3%, Increase Critical Star Drop Rate by 5%; Increase Dokuro Corn drop amount by 1 [ONILAND]\Increase Quick Card effectiveness by 5%, Increase Critical Star Drop Rate by 10%; Increase Dokuro Corn drop amount by 2 [ONILAND]\-\K-SUWABE\\\ONILAND of the Mysterious Kingdom!!
905\Three Angler\5\12\750, 0\3000, 0\Increase Quick Card effectiveness by 10%, Increase NP Strength by 10%, Increase Critical Strength by 10%; Increase Quick ATK Strength by 100% to 500% [ONILAND]; Increase Camaraderie Points drop amount by 30% [ONILAND]\Increase Quick Card effectiveness by 15%, Increase NP Strength by 15%, Increase Critical Strength by 15%; Increase Quick ATK Strength by 100% to 500% [ONILAND]; Increase Camaraderie Points drop amount by 60% [ONILAND]\-\Nitaka\\\ONILAND of the Mysterious Kingdom!!
906\Royal Icing\5\12\0, 500\0, 2000\Increase Arts Card effectiveness by 10%, Increase NP Strength by 20%; Increase Arts ATK Strength by 100% to 500% [ONILAND]; Increase Camaraderie Points drop amount by 30% [ONILAND]\Increase Arts Card effectiveness by 15%, Increase NP Strength by 25%; Increase Arts ATK Strength by 100% to 500% [ONILAND]; Increase Camaraderie Points drop amount by 60% [ONILAND]\-\ReDrop\\\ONILAND of the Mysterious Kingdom!!
907\Freezing Bearfight\5\12\0, 250\1600, 1000\Apply Ignore Invincible, Increase Buster Card effectiveness by 8%; Increase Buster ATK Strength by 100% to 500% [ONILAND]; Increase Camaraderie Points drop amount by 30% [ONILAND]\Apply Ignore Invincible, Increase Buster Card effectiveness by 10%; Increase Buster ATK Strength by 100% to 500% [ONILAND]; Increase Camaraderie Points drop amount by 60% [ONILAND]\-\Suzuki Jirou\\\ONILAND of the Mysterious Kingdom!!
908\Something Unforgettable\4\9\100, 100\100, 100\When equipped to Sitonai (Alterego) only, Increase Arts Card effectiveness & NP Strength of all allies by 10% while she's on the field\When equipped to Sitonai (Alterego) only, Increase Arts Card effectiveness & NP Strength of all allies by 10% while she's on the field\-\Sakuma Mitsuro\\
909\End of the Dharmapala\4\9\100, 100\100, 100\When equipped to Shuten-Douji (Caster) only, Increase Buster Card effectiveness & NP Gain of all allies by 10% while she's on the field\When equipped to Shuten-Douji (Caster) only, Increase Buster Card effectiveness & NP Gain of all allies by 10% while she's on the field\-\Sakuma Mitsuro\\
910\Chaldea Teatime\5\12\750, 0\3000, 0\Increase Bond Points by 1% (Increased to 3% when used as Support)\Increase Bond Points by 5% (Increased to 15% when used as Support)\-\NOCO\\\15M DL Commemoration Campaign Da Vinci's Workshop 
911\Dragon and Dragon Swordsman\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50\\-\Shishizaru\\\Fate/Grand Order Arcade Location Campaign 3
912\Flame Count \5\12\0, 500\0, 2000\Increase NP Strength by 20%, Increase NP Overcharge by 2 levels (1 time)\Increase NP Strength by 25%, Increase NP Overcharge by 2 levels (1 time)\-\mizumizutorisan\\
913\Beyond the Horizon\4\9\320, 200\1200, 750\Increase NP Gauge by 4% per turn, Increase Buster Card effectiveness by 10%\Increase NP Gauge by 5% per turn, Increase Buster Card effectiveness by 12%\-\Sazanami Misa\\
914\Beauty in a Secluded Room\3\5\300, 0\1500, 0\Increase Buff Success Rate by 10%\Increase Buff Success Rate by 15%\-\-\\
915\In the Land of the Eternal Bird \4\9\320, 200\1200, 750\Increase NP Gauge by 4% per turn, Increase NP Gain by 10%\Increase NP Gauge by 5% per turn, Increase NP Gain by 15%\-\Azuma Toh\\
916\Huiji Type-0 Blueprints\4\9\100, 100\100, 100\When equiped to Xiang Yu (Berserker) only, Increase Quick and Buster effectiveness of all allies by 10% while he's on the field.\\-\-\\
917\My Poison Cup, My Mask\4\9\100, 100\100, 100\When equiped to Lan Ling Wang (Saber) only, Increase Arts Card effectiveness & NP Gain of all allies while he's on the field. \\-\-\\
918\Wood of the Ash Tree\4\9\100, 100\100, 100\When equiped to Qin Liangyu (Lancer) only, Increase Quick and Arts effectiveness of all allies by 10% while she's on the field. \\-\-\\
919\Epang Palace Model\4\9\100, 100\100, 100\When equipped to Shi Huang Di (Ruler) only, Apply Guts (1 time, 50% HP)\\-\-\\
920\Reading Books\4\9\100, 100\100, 100\When equipped to Yu Meiren (Assassin) only, Increase Arts and Quick Card effectiveness of all allies by 10% while she's on the field\\-\-\\
921\Wonderful Manger\4\9\100, 100\100, 100\When equipped to Chituma (Rider) only, Increase Quick Card effectiveness of all allies by 20% and Critical Strength by 15% but decrease their DEF by 10% [Demerit] while he's on the field.\\-\-\\
922\Traveling Big Circus!\4\9\100, 100\100, 100\Increase Mystic Code EXP received from clearing quest by 50\\-\-\\
923\Shvibzik Snow\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 10%, Increase Arts Card effectiveness by 10%, Increase NP Gauge by 40% at the start of battle, Increase Adios Mic drop amount by 1 [Christmas 3]\Increase Quick Card effectiveness by 12%, Increase Arts Card effectiveness by 12%, Increase NP Gauge by 50%, Increase Adios Mic drop amount by 2 [Christmas 3]\-\Ponkan8\\\Christmas 2018: Holy Samba Night
924\Ring the Bell\4\9\320, 200\1200, 750\Increase NP Gain by 15%, Increase NP Strength by 10%, Increase Critical Strength by 10%, Increase Mucho Dumbbell drop amount by 1 [Christmas 3]\Increase NP Gain by 20%, Increase NP Strength by 15%, Increase Critical Strength by 15%, Increase Mucho Dumbbell drop amount by 2 [Christmas 3]\-\Shirabi\\\Christmas 2018: Holy Samba Night
925\Burning Live Seat\3\5\0, 200\0, 1000\Increase Buster Card effectiveness by 3%, Increase NP Strength by 8%, Increase Hola Band drop amount by 1 [Christmas 3]\Increase Buster Card effectiveness by 5%, Increase NP Strength by 10%, Increase Hola Band drop amount by 2 [Christmas 3]\-\Akagishi K\\\Christmas 2018: Holy Samba Night
926\Teachings of Saint Martha\5\12\0, 500\0, 2000\Increase Buster Card effectiveness by 8%, Increase Quick Card effectiveness by 8%, Gain 15 Critical Stars when entering the battle (1 time), Increase Amigo Towel drop amount by 1 [Christmas 3]\Increase Buster Card Effectiveness by 10%, Increase Quick Card Effectiveness by 10%, Gain 20 Critical Stars when entering the battle (1 time), Increase Amigo Towel drop amount by 2 [Christmas 3]\-\Hino Hinako\\\Christmas 2018: Holy Samba Night
927\Angelica Cathay\4\9\100, 100\100, 100\When equiped to Bradamante (Lancer) only, Increase NP Gain & NP Strength of all allies by 10% while she's on the field\\-\\\
928\Winged Serpent of the Holy Night\4\9\100, 100\100, 100\When equiped to Quetzalcoatl (Samba/Santa) (Ruler) only, Increase Quick and Buster Card Effectiveness of all alies by 10% while she's on the field\\-\\\
929\New Years Greetings\4\9\2019, 0\2021, 0\Increase Quick Card effectiveness by 8%\\-\Hanakeda\NewYear\\Activity Log of the Sparrow's Inn ~Enmatei Prosperity Chronicles~
930\Pig King\4\9\0, 0\0, 0\No Effect; Increase Craft Essence EXP by 30,000 when used as synthesis material.\\-\Riyo\EXPCard\\Activity Log of the Sparrow's Inn ~Enmatei Prosperity Chronicles~
931\Mark of a Smiling Face\5\12\0, 500\0, 2000\Increase Arts Card effectiveness by 10%, Increase NP Strength by 15%, Increase Sparrow's Harvest drop amount by 1 [Sparrow's Inn]\Increase Arts Card effectiveness by 15%, Increase NP Gain by 15%, Increase NP Strength by 20%, Increase Sparrow's Harvest drop amount by 2 [Sparrow's Inn]\-\LAM\\\Activity Log of the Sparrow's Inn ~Enmatei Prosperity Chronicles~
932\Mystics of the New Year\4\9\320, 200\1200, 750\Increase Quick Card effectiveness by 6%, Increase Arts Card effectiveness by 6%, Increase NP Gain by 4%, Increase River's Harvest drop amount by 1 [Sparrow's Inn]\Increase Quick Card effectiveness by 6%, Increase Arts Card effectiveness by 6%, Increase NP Gain by 4%, Increase River's Harvest drop amount by 2 [Sparrow's Inn]\-\Kawai Makoto\\\Activity Log of the Sparrow's Inn ~Enmatei Prosperity Chronicles~
933\Prudent Pig\3\5\300, 0\1500, 0\Increase QP from clearing quests by 2019 (JP); Increase QP from clearing quests by 2021 (NA), Increase Mountain's Harvest drop amount by 1 [Sparrow's Inn]\Increase QP from clearing quests by 2019(JP)/2021(NA), Increase Debuff Resist by 1.9%(JP)/2.1%(NA), Increase Mountain's Harvest drop amount by 2 [Sparrow's Inn]\-\Riyo\\\Activity Log of the Sparrow's Inn ~Enmatei Prosperity Chronicles~
934\Goddesses of the Silver Snow\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 6%, Increase Arts Card effectiveness by 6%, Increase Buster Card effectiveness by 6%, Increase NP Gauge by 30% at the start of battle, Increase Timber drop amount by 1 [Sparrow Inn]\Increase Quick Card effectiveness by 8%, Increase Arts Card effectiveness by 8%, Increase Buster Card effectiveness by 8%, Increase NP Gauge by 50% at the start of battle, Increase Timber drop amount by 2 [Sparrow Inn]\-\Hanamura Mai\\\Activity Log of the Sparrow's Inn ~Enmatei Prosperity Chronicles~
935\Vestiges Just Like Spring\4\9\100, 100\100, 100\When equipped to Benienma (Saber) only, Apply Special Attack [Chaotic] 15% and Special Attack [Evil] 15%\\-\Sakuma Mitsuro\\
936\Even Through Old Age\4\9\100, 100\100, 100\When equipped to Li Shuwen (Assassin), Increase Arts Card effectiveness of all allies by 10%, and Critical Strength by 15% while he's on the field\\-\moryo\\
937\Enuma Dingir\4\9\100, 100\100, 100\Increase Mystic Code EXP recieved by clearing quest by 50\\-\Okazaki Oka\\
938\Virtuous Pike and Shield\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Hama Yurie (ufotable)\\
939\Encounter on a Dark Night\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Katou Miho (ufotable)\\
940\Pure Total Destruction\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Ookubo Yoshiyuki (ufotable)\\
941\Proof of the Fastest\4\9\100, 100\100, 100\Increase Master EXP received from clearing quest by 50\\-\Endo Kaori (ufotable)\\
942\Paradox Ace Killer\4\9\0, 400\0, 1500\Increase Quick Card effectiveness by 10%, Increase NP Strength by 8%,When equipped to a [Female] Servant:Increase ATK Strength by 50% during [PRISMA CODES],Increase Quick Card effectiveness by 50% during [World End Match] [Prillya]\Increase Quick Card effectiveness by 15%, Increase NP Strength by 10%, When equipped to a [Female] Servant:Increase ATK Strength by 100% during [PRISMA CODE].Increase Quick Card effectiveness by 100% during [World End Match] [Prillya]\-\Shirai Eiri\\\Revival: Magical Girl Cruise ~PRISMA CODES~ Re-Install
943\Memories of Mother\4\9\100, 100\100, 100\When equipped to Miyu Edelfelt (Caster) only, Increase NP Gain of all allies by 15% while she is on the field \\-\Higashiyama Yuusei\\
944\Bitter Sweet\5\12\0, 500\0, 2000\Apply Invincible (2 times), Increase NP Damage by 25%, Increase Dream-Spelling Brush drop amount by 1 [Valentines 3]\Apply Invincible (2 times), Increase NP Damage by 30%, Increase Dream-Spelling Brush drop amount by 2 [Valentines 3]\-\Kohzuki Kei\\\Valentine 2019 Voice & Letter Collection ~Murasaki Shikibu and the 7 Cursed Books~
945\Walkure Style\4\9\320, 200\1200, 750\Increase NP Gauge by 3% per turn; Increase NP Strength by 15%, Increase Thought-Spinning Inkstick drop amount by 1 [Valentines 3]\Increase NP Gauge by 4% per turn, Increase NP Strength by 20%, Increase Thought-Spinning Inkstick drop amount by 2 [Valentines 3]\-\Iida Pochi\\\Valentine 2019 Voice & Letter Collection ~Murasaki Shikibu and the 7 Cursed Books~
946\Memory of Qualia\3\5\300, 0\1500, 0\Gain 1 Crit Star per turn, Increase NP Gain by 3%, Increase Critical Strength by 3%, Increase Word-Writing Stationery drop amount by 1 [Valentines 3]\Gain 2 Crit Stars, Increase NP Gain by 5%, Increase Critical Strength by 5%, Increase Word-Writing Stationery drop amount by 2 [Valentines 3]\-\Mochizuki Kei\\\Valentine 2019 Voice & Letter Collection ~Murasaki Shikibu and the 7 Cursed Books~
947\Beautiful Dreamer \5\12\0, 500\0, 2000\Increase Buster Card effectiveness by 8%, Increase NP Gain by 8%, Increase NP Gauge by 30% at the start of battle, Increase Poetry Composition Points drop amount by 30% [Valentines 3]\Increase Buster Card effectiveness by 10%, Increase NP Gain by 10%, Increase NP Gauge by 50% at the start of battle, Increase Poetry Composition Points drop amount by 50% [Valentines 3]\-\Yoneyama Mai\\\Valentine 2019 Voice & Letter Collection ~Murasaki Shikibu and the 7 Cursed Books~
948\New Tale of Genji Picture Scroll\4\9\100, 100\100, 100\When equipped to Murasaki Shikibu (Caster) only, Apply Special Attack [Demonic] 20% to all allies while she's on the field\\-\\\
949\Rainy Bridge\4\3\0, 0\0, 0\No Effect\\-\\\
950\Vy (Stand-Alone)\4\3\0, 0\0, 0\No Effect\\-\\\
951\Rush Recklessly Choco\4\3\0, 0\0, 0\No Effect\\-\\\
952\Choco-Type Mini Golem\4\3\0, 0\0, 0\No Effect\\-\\\
953\Under the Lovable Child, Reading Books\4\3\0, 0\0, 0\No Effect\\-\\\
954\Jet Black Conductor's Baton\4\3\0, 0\0, 0\No Effect\\-\\\
955\Xanthos\4\3\0, 0\0, 0\No Effect\\-\\\
956\First-Rank Award\4\3\0, 0\0, 0\No Effect\\-\\\
957\Bedside Evil Dragon\4\3\0, 0\0, 0\No Effect\\-\\\
958\Oden Choco\4\3\0, 0\0, 0\No Effect\\-\\\
959\Cotton Muffler\4\3\0, 0\0, 0\No Effect\\-\\\
960\Pocket Watch & Frog Choco\4\3\0, 0\0, 0\No Effect\\-\\\
961\Military Ration (Canned)\4\3\0, 0\0, 0\No Effect\\-\\\
962\Glasses\4\3\0, 0\0, 0\No Effect\\-\\\
963\Amethyst Confectionaries\4\3\0, 0\0, 0\No Effect\\-\\\
964\Ice Candy\4\3\0, 0\0, 0\No Effect\\-\\\
965\White Dolphin Team\4\3\0, 0\0, 0\No Effect\\-\\\
966\Cotton Candy\4\3\0, 0\0, 0\No Effect\\-\\\
967\Mt. Kurama Special Paperplant Manju\4\3\0, 0\0, 0\No Effect\\-\\\
968\Not-Heart Chocolate\4\3\0, 0\0, 0\No Effect\\-\\\
969\Master in the Chocolate\4\3\0, 0\0, 0\No Effect\\-\\\
970\Medb-chan Brand Thick Cacao Choco\4\3\0, 0\0, 0\No Effect\\-\\\
971\Nebula Sweet\4\3\0, 0\0, 0\No Effect\\-\\\
972\Fruit of the Underworld\4\3\0, 0\0, 0\No Effect\\-\\\
973\Snow Viewing White Choco\4\3\0, 0\0, 0\No Effect\\-\\\
974\Dharmapala Girl Choco\4\3\0, 0\0, 0\No Effect\\-\\\
975\Sword of Xiang Yu\4\3\0, 0\0, 0\No Effect\\-\\\
976\Beauty Concealing Mask\4\3\0, 0\0, 0\No Effect\\-\\\
977\Panda\4\3\0, 0\0, 0\No Effect\\-\\\
978\Elixir of Immortality\4\3\0, 0\0, 0\No Effect\\-\\\
979\Chalcedony Choco\4\3\0, 0\0, 0\No Effect\\-\\\
980\Modern Exchange Gift Sweets\4\3\0, 0\0, 0\No Effect\\-\\\
981\Finest Carrots\4\3\0, 0\0, 0\No Effect\\-\\\
982\Hippo-chan\4\3\0, 0\0, 0\No Effect\\-\\\
983\Signal to the Beginning and the End of Battle Chocolate\4\3\0, 0\0, 0\No Effect\\-\\\
984\Wasanbon of the Tongue-Sweet Sparrow\4\3\0, 0\0, 0\No Effect\\-\\\
985\Wooden Sword\4\3\0, 0\0, 0\No Effect\\-\\\
986\Girl's Cacao Three-Point Serving\4\3\0, 0\0, 0\No Effect\\-\\\
987\Picture Scroll Chocolate\4\3\0, 0\0, 0\No Effect\\-\\\
988\Bella Lisa\5\12\400, 250\1600, 1000\Increase QP from enemy drops by 1% (Increased to 3% when used as Support)\Increase QP from enemy drops by 5% (Increased to 15% when used as Support)\-\Simosi\\
989\Those, Which Fills Both Hands\4\9\100, 100\100, 100\When equiped to Kingprotea (Alter Ego) only, Increase own Buster Card effectiveness by 20%, Increase own Buster Card effectiveness by 20% if [Growth] is active, decrease Quick Card effectiveness of all allies by 10% while she's on the field [Demerit]\\-\Sakuma Mitsuro\\
990\The Dantes Files: The Case of the True Mastermind\5\12\400, 250\1600, 1000\Increase Quick Card effectiveness by 10%, Increase Critical Strength by 10%, Increase NP Gain by 15%, Increase Hermit Shaker drop amount by 1 [CHALDEA BOYS 1]\Increase Quick Card effectiveness by 15%, Increase Critical Strength by 15%, Increase NP Gain by 20%, Increase Hermit Shaker drop amount by 2 [CHALDEA BOYS 1]\-\Kazuki Yone\\\CHALDEA BOYS COLLECTION 2019
991\Dance with Rounds\5\12\0, 500\0, 2000\Increase Critical Star Gather Rate by 400%, Increase NP Gain by 20%, Increase Hermit Shaker drop amount by 1 [CHALDEA BOYS 1]\Increase Critical Star Gather Rate by 600%, Increase NP Gain by 25%, Increase Hermit Shaker drop amount by 2 [CHALDEA BOYS 1]\-\Usuba Kagero\\\CHALDEA BOYS COLLECTION 2020
992\Far-Sighted in Deep Thought\4\9\320, 200\1200, 750\Apply Sure Hit, Increase NP Gain by 15%, Increase Tricky Cloth drop amount by 1 [CHALDEA BOYS 1]\Apply Sure Hit, Increase NP Gain by 20%,Increase Tricky Cloth drop amount by 2 [CHALDEA BOYS 1]\-\Sata\\\CHALDEA BOYS COLLECTION 2021
993\Cherry Blossoms in Full Bloom\4\9\0, 400\0, 1500\Increase Arts Card effectiveness by 10%, Increase Critical Strength by 8%, Increase Tricky Cloth drop amount by 1 [CHALDEA BOYS 1]\Increase Arts Card effectiveness by 15%, Increase Critical Strength by 10%, Increase Tricky Cloth drop amount by 2 [CHALDEA BOYS 1]\-\Shiramine\\\CHALDEA BOYS COLLECTION 2022
994\Sensei and I\4\9\320, 200\1200, 750\Increase Arts Card effectiveness by 15%, Increase Critical Strength by 10%, Increase Tricky Cloth drop amount by 1 [CHALDEA BOYS 1]\Increase Quick Card effectiveness by 10%, Increase Arts Card effectiveness by 10%, Increase NP Strength by 10%, Increase Tricky Cloth drop amount by 2 [CHALDEA BOYS 1]\-\TCB\\\CHALDEA BOYS COLLECTION 2023
995\BAR Troy\3\5\0, 200\0, 1000\Increase NP Gauge by 1% per turn, Increase NP Strength by 5%, Increase Bad Coaster drop amount by 1 [CHALDEA BOYS 1]\Increase NP Gauge by 2% per turn, Increase NP Strength by 10%, Increase Bad Coaster drop amount by 2 [CHALDEA BOYS 1]\-\Komiya Kuniharu\\\CHALDEA BOYS COLLECTION 2024
996\Under the Knife\3\5\160, 100\800, 500\Apply Evade (1 time), Increase Critical Strength by 5%, Increase Bad Coaster drop amount by 1 [CHALDEA BOYS 1]\Apply Evade (1 time), Increase Critical Strength by 5%, Increase Bad Coaster drop amount by 2 [CHALDEA BOYS 1]\-\Futaba Hazuki\\\CHALDEA BOYS COLLECTION 2025
997\Angel Bless\3\5\300, 0\1500, 0\Increase HP Recovery Amount by 5%, Increase NP Gain by 5%, Increase Bad Coaster drop amount by 1 [CHALDEA BOYS 1]\Increase HP Recovery Amount by 10%, Increase NP Gain by 10%, Increase Bad Coaster drop amount by 2 [CHALDEA BOYS 1]\-\Kinami Yuki\\\CHALDEA BOYS COLLECTION 2026
